기간,실거래가
202301,59199.65531378114
202302,62479.18735719726
202303,62755.64845203857
202304,68204.69122926996
202305,68316.75950714937
202306,71586.03088235293
202307,69579.50334549879
202308,70804.10548771516
202309,69840.56818540124
202310,60658.35667438272
202311,56338.499785499786
202312,55301.50010640562
202401,63402.695602074135
202402,64252.39180952381
202403,69134.64912513255
202404,71952.47611247611
202405,68003.08429752066
